context,prompt,utterance
positive,Multiple rooms,There were four rooms for the speech teacher_comma_and side rooms for hearing tests_period_
neutral,Finding the room,That's a lot of rooms. But you found the right one?_period_
positive,Waiting a bit,Yes_comma_ I just waited a few minutes for them to open the door_period_
positive,First day in speech therapy,How did your first day at speech go?_period_
positive,Helpful experience,It was helpful. My teacher's name was [B-PER]. [I-PER]rill_period_
positive,Working on the picture board,I'm glad it seemed like a good experience. What kinds of things did you work on?_period_
positive,Working on pictures,We worked a lot on my picture board at the time_period_
positive,Working on the picture board,What was working on your picture board like?_period_
positive,Adding extra pictures,It was good. We worked on adding extra pictures_period_
neutral,Adding pictures,Why did you add extra pictures to your board?_period_
positive,Expressing more,The teacher knew I had lots to say_comma_but didn't have enough pictures to help me say it all_period_
positive,Opinion on speech teacher,What did you think of your speech teacher?_period_
positive,Positive experience,I liked her. She really took her time with me_period_
positive,Helpful teacher,That sounds like it was really helpful._period_
positive,Teacher’s understanding,Yes_comma_ it was. She knew I had lots to say_comma_and made sure I was able to say it_period_
positive,Additional support,I'm glad to hear that! What other things did she do that were helpful?_period_
positive,Collaboration,She knew my old teacher_comma_Mrs. [I-PER]n_comma_so sometimes we would all work together during speech_period_
positive,Teamwork,It's good to have multiple adults working together to help you._period_
positive,Getting candy,Yes_comma_ it was. I also got candy_comma_which was a big plus_period_
neutral,Introduction to speech teacher,What was your first introduction to this new speech teacher like?_period_
neutral,Waiting for teacher,I hadn't been there before_comma_so I waited at her door for a few minutes_period_
neutral,Teacher opening door,That's a good thing to do. Did the door eventually open?_period_
positive,Teacher opening door,Yes_comma_ the new teacher opened the door after a few minutes_period_
positive,Teacher’s greeting,Oh_comma_ good. What did she do?_period_
positive,Teacher’s introduction,She said "hi [B-PER]_comma_I am Mrs. [I-PER]rill_comma_come into my room."_period_
positive,Teacher’s kindness,She sounds like a nice person._period_
positive,Teacher’s helpfulness,Yes_comma_ she was. She really took her time with me and helped me a lot_period_
neutral,School challenges,What kinds of challenges did you experience in school?_period_
negative,Placement in reading class,I remember one day_comma_they wanted me to try something different_comma_so I was placed in a different reading class_period_
neutral,How it went,Oh_comma_ that's an interesting idea. How did that go?_period_
negative,Difficulty with harder class,It was a harder reading classroom. The teacher_comma_Mr. [I-PER] gave me the same book the rest of the class was reading_period_
neutral,Reading challenge,In a higher reading class_comma_I expect the book was a bit harder for you than normal?_period_
negative,Struggling to read,Yes_comma_ extremely. I couldn't read it_comma_and I started to cry_period_
negative,Emotional reaction,Oh no_comma_that's awful! It's really hard to try doing something that feels impossible._period_
negative,Difficulty reading,Yes_comma_ I had a really rough time with it_period_
negative,Reading class challenge,What was Mr. [I-PER]'s reading class like?_period_
positive,Harder class,It was a harder reading class than I was used to_period_
neutral,Difficulty in class,Sounds like it would have been difficult to get through._period_
negative,Teacher’s approach,Yes_comma_ it was. Mr. [I-PER] gave me the same book as the rest of the class_comma_and opened it up for me_period_
neutral,Reading struggle,What did you do once he opened the book?_period_
negative,Unable to read,I tried to read it_comma_but I couldn't. I started to cry_period_
negative,Emotional reaction,That sounds horrible. Did anyone do anything?_period_
positive,Teacher’s support,Yes_comma_ Mr. [I-PER] noticed and came over to try to help_period_
positive,Teacher’s response,How did the reading teacher handle you being in his class?_period_
positive,Teacher’s effort,He opened the book for me when he gave it to me_comma_so I could get right to reading_period_
neutral,Emotional reaction,How did that make you feel?_period_
negative,Struggling to read,Well_comma_ I tried reading it but couldn't_comma_so I got really upset_period_
positive,Teacher’s concern,That sounds really difficult. What happened next?_period_
positive,Teacher’s support,Mr. [I-PER] came over and sat next to me and asked me what was wrong_period_
neutral,Teacher’s response,I'm glad he noticed. What did you say to him?_period_
positive,Explaining the problem,I tried to explain that I couldn't read it at all_period_
positive,Teacher’s solution,What happened when your reading teacher realized you were having trouble?_period_
positive,Teacher’s suggestion,He told me to take the book_period_
neutral,What to do next,What did he have you do with it?_period_
positive,Teacher’s task,He said_comma_"I would like you to answer ten questions for me."_period_
neutral,Next steps,Oh_comma_ I see. What did he have you do after that?_period_
positive,Classroom change,He told me to go to room 120 for the next period_period_
neutral,Classroom switch,Oh_comma_ so you had to switch classes again._period_
positive,New classroom,Yes_comma_ I switched over to a different room that I didn't know_period_
neutral,After reading class,What happened after you were done with reading class?_period_
neutral,Teacher’s instruction,My reading teacher told me to go to room 120._period_
neutral,Response to teacher's instruction,What did you do when he told you that?_period_
neutral,Leaving early,I just told him "OK." He let me leave a bit early._period_
positive,Leaving for the next class,Oh_comma_ that's nice of him. So you left early for your next class?_period_
positive,Moving to room 120,Yes_comma_ I left to go to room 120._period_
neutral,What was in room 120,What did you find in room 120?_period_
neutral,Room description,It was a big room_comma_and I saw a woman sitting at the table._period_
neutral,Teacher’s reaction to struggling,How did your reading teacher react to you struggling?_period_
positive,Teacher’s help,He had me answer 10 questions_comma_then let me go._period_
neutral,Going to room 120,Where did you go after that class?_period_
neutral,Teacher’s instruction,My reading teacher told me to go room 120_comma_so I did._period_
neutral,Uncertainty about room 120,Did you know what you'd be doing in room 120?_period_
negative,Uncertainty,No_comma_ I didn't know what to expect from the teacher there._period_
neutral,Feelings about uncertainty,That sounds like it would be hard._period_
positive,Teacher’s help,Yes. He let me leave a bit early_comma_at least_comma_but I wasn't sure what to expect from the new teacher._period_
neutral,First impression of new room,What did you see in this new room he sent you to?_period_
neutral,First impression of teacher,I saw a woman sitting at a big table when I went in._period_
neutral,Teacher’s reaction,Okay_comma_did she react when you entered?_period_
positive,Teacher’s introduction,Yes_comma_ she introduced herself as Mrs. [I-PER]._period_
neutral,Teacher’s explanation,Did she tell you what you were there for?_period_
positive,Teacher’s explanation,Yes_comma_ she said she was going to help me with my schoolwork._period_
negative,Worries about hearing aids,How did you react to that?_period_
negative,Worry about hearing aids,I wasn't sure how to react. I was worried she'd react to my hearing aids again._period_
neutral,First impression of teacher,What was this new teacher like?_period_
neutral,Teacher’s awareness of hearing aids,I wasn't sure what to think at first. She said she had heard I had hearing aids._period_
negative,Worry about reaction,Oh_comma_ how did you react when she brought up the hearing aids?_period_
negative,Worry about reaction,I was worried. I thought "is she gonna do it like my therapist does?" with no voices._period_
negative,Frustration with reaction,That would be frustrating! How did you respond to her?_period_
positive,Responding to teacher,I said hi to her and told her yes_comma_I had hearing aids._period_
positive,Teacher’s response,What ended up happening with this new teacher?_period_
positive,Teacher reading,She read the book to me. I love it when people read to me._period_
positive,Teacher’s help,What did you do with this new teacher?_period_
positive,Teacher’s explanation,She said she was going to help me with my schoolwork._period_
positive,Teacher’s help,I'm glad she was willing to help. How did she end up helping you?_period_
positive,Teacher’s reading,She read the book to me that I was having trouble with._period_
positive,Effectiveness of help,Oh that's good! Did that help at all?_period_
positive,Helping with answers,Yes_comma_ I answered all the questions easily._period_
positive,Love for being read to,I'm glad to hear that helped so much!_period_
positive,Enjoying the story,Yes. I love when people read to me. I can put myself into the story._period_
neutral,After teacher’s help,What did you do after she helped you?_period_
neutral,Waiting outside,I waited outside Mr. [I-PER]'s classroom. Everyone was looking and asked if I was okay._period_
neutral,Why people asked,Why was everyone asking if you were alright?_period_
positive,Assumed trouble,Because normally_comma_when a kid is sitting outside of the classroom_comma_it's because they got in trouble._period_
neutral,Explaining the situation,Oh_comma_ that makes sense. But you weren't in trouble._period_
positive,Reason for waiting,No_comma_ I had just needed a bit of extra help._period_
neutral,Staring situation,It must have been weird to get stared at like that._period_
positive,Teacher’s support,Well_comma_ Mr. [I-PER] came out eventually to see me_comma_so it was alright._period_
neutral,Going back to class,Did you ever go back to Mr. [I-PER]'s class?_period_
neutral,Waiting outside,Yes. I waited outside for a bit before Mr. [I-PER] checked on me._period_
neutral,Teacher’s check-in,What happened when he checked on you?_period_
positive,Teacher’s greeting,He said hello_comma_and I said hi back._period_
neutral,Teacher’s interest in reading,Did he ask you about the reading at all?_period_
neutral,Finished questions,Well_comma_ I had the finished questions in front of me_comma_so he just took that._period_
positive,Teacher’s help,It seems like that other teacher really helped you._period_
positive,Help with reading,She did. I knew the answers to the questions_comma_I was just having trouble reading._period_
neutral,Teacher’s reaction,How did Mr. [I-PER] react when you came back?_period_
positive,Teacher’s greeting,Well_comma_ first he came out and said hi_comma_so I said hi back._period_
neutral,What happened after hello,What happened after you said hello?_period_
positive,Teacher’s action,He saw I had the questions done_comma_so he took it off my lap and invited me into the classroom._period_
neutral,Feelings about returning,Oh_comma_ good. How did you feel about being invited back?_period_
neutral,Feeling scared,I was a little scared_comma_but I went in anyways._period_
positive,Bravery in returning,I'm glad you went in despite your fear. Why were you scared?_period_
negative,Classroom fear,The classroom was full of older kids at that time._period_
neutral,In the classroom,What did you do once you were in the classroom?_period_
neutral,Weird situation,I sat on the side because he was busy_comma_and I had no idea why I was there._period_
neutral,Teacher’s action,That must have been weird. What happened next?_period_
neutral,Teacher’s dismissal,Yes_comma_ it was weird. Mr. [I-PER] then dismissed everyone._period_
positive,Classroom departure,What? He just had everyone leave right after you got there?_period_
neutral,Teacher’s instructions,Yes. He said "stop reading everyone. You may leave now."_period_
neutral,Teacher’s explanation,That's so confusing. I wonder why he did that._period_
positive,Teacher’s explanation,He explained it to me after everyone left._period_
neutral,Teacher’s explanation,Did the teacher explain why he had everyone leave?_period_
positive,Apology,After everyone left_comma_I showed him the picture on my picture board to say "I'm sorry."_period_
neutral,Why apologize,Oh? Why were you sorry?_period_
positive,Teacher’s question,Mr. [I-PER] asked me that_comma_too_comma_He said "why are you sorry?"_period_
neutral,Teacher’s explanation,So what happened next?_period_
positive,Teacher’s explanation,He explained what was going on and that my answers were the best of the class._period_
positive,Positive feedback,Oh_comma_ wow! That's great to hear!_period_
positive,Compliment from teacher,Yes. He said I had a really high IQ. I was happy._period_
positive,Teacher’s explanation,So what did Mr. [I-PER] say to you?_period_
positive,Teacher’s reassurance,He said I didn't have to be sorry_comma_and that today had been a test._period_
neutral,Teacher’s apology,Oh? What did he say after that?_period_
positive,Teacher’s apology,He said he knew I couldn't read and apologized._period_
positive,Teacher’s praise,That's nice of him to apologize. What happened next?_period_
positive,Teacher’s compliment,He said the questions I answered were the best in the class_comma_and I had a really high IQ._period_
positive,Teacher’s praise,Oh that's so nice of him_comma_wow! I'm glad he realized you were smart._period_
positive,Teacher’s support,Yes. He said he and Mrs. [I-PER] were going to find a way to get my high IQ to show through._period_
neutral,Feelings about IQ,How do you feel about your IQ?_period_
negative,Self-doubt,I don't know. Often times I feel like I'm just dumb._period_
positive,Reassurance,You're not dumb; why do you think that?_period_
negative,Self-doubt,I can't read or talk_comma_and I use a picture board._period_
neutral,Empathy,It sounds like that would be tough to handle._period_
positive,Support,[B-PER] tells me there's different kinds of intelligence._period_
positive,Reassurance,Yes. Just because you can't read or talk doesn't mean you're not smart._period_
positive,Realization,Yes_comma_ I realize that now. I have lots of other strengths._period_
negative,Struggling with IQ,How do you handle having a high IQ_comma_but not being able to talk?_period_
negative,Feeling dumb,It's hard; I feel like I'm dumb sometimes because I can't read or talk and have to use a picture board._period_
positive,Support from others,What do your friends and family think?_period_
positive,Family support,[B-PER] tells me that I'm smart and handsome._period_
positive,Reassurance,That's nice of her. You're still smart_comma_even if you have some things you can't do._period_
positive,Family support,Yes. She's been helping me write._period_
positive,Excitement for progress,I'm glad she's helping you. I'm excited to hear more of the story._period_
positive,Strength despite struggles,Thank you. It's hard sometimes_comma_but I still know I'm smart._period_
neutral,Feelings about IQ,What do other people say about your IQ?_period_
positive,Family support,[B-PER] often tells me that it's high. But I don't know._period_
neutral,Uncertainty,What do you mean? Do you think she's right?_period_
negative,Self-doubt,I just feel like I'm dumb very often. My next story is about a problem I had._period_
neutral,Feelings of self-doubt,Why do you feel like you're dumb?_period_
negative,Struggling with skills,I can't read_comma_talk_comma_or use a picture board._period_
neutral,Empathy,That sounds like it would be tough to handle._period_
positive,Family support,It is. But [B-PER] tells me I'm smart and handsome._period_
neutral,Struggling with names,What is it like to meet new people?_period_
negative,Struggling with names,My problem is that I can't remember the names of new people I meet._period_
neutral,Empathy,Yeah_comma_ names are really difficult to remember sometimes._period_
positive,Struggling with names,They are. I remember everyone's faces just fine_comma_I'm just bad at remembering names._period_
positive,Shared struggle,Me too. Are there ways you've found that help you remember?_period_
positive,Using nicknames,Sometimes I give them a nickname._period_
neutral,Curiosity,Oh_comma_ that's clever. Do you do that often?_period_
neutral,Memory improvement,Just sometimes. I also just remember their name better if I see them a lot._period_
positive,Struggling with IQ,What kinds of things do you struggle with with your IQ?_period_
neutral,Expectations about IQ,It's interesting. Everyone thinks I have a high IQ because I understand everything._period_
neutral,Assumptions about understanding,Do you really_comma_or is that just what people assume?_period_
negative,Struggling with names,Well_comma_ I find one thing I have a lot of trouble with is remembering names._period_
neutral,Shared struggle,People's names are hard to remember sometimes_comma_I agree._period_
positive,Struggling with names,Yes_comma_ especially new people. I remember names better once I see them a lot._period_
positive,Memory improvement,Yes_comma_ that's helpful. The more you need to repeat the name_comma_the more you're able to remember._period_
positive,Using nicknames,Exactly. I also give them nicknames sometimes. That helps_comma_too._period_
positive,Struggling with names,What do you do to remember names?_period_
positive,Using nicknames,Sometimes I give people nicknames. But it's difficult for me to remember._period_
neutral,Empathy,I bet it would be_comma_yeah. Especially for new people._period_
positive,Struggling with names,Yes. My IQ is high_comma_but I still have a really tough time remembering._period_
neutral,Understanding names,Names are pretty specific_comma_too. I could see how they would be hard to remember._period_
positive,Good memory for directions,Yep. I could tell you 100 ways to go from my house to School 84._period_
neutral,Impressive memory,Oh_comma_ wow. That means your memory must be really good._period_
positive,Memory with directions,Yes_comma_ but if you ask me the names of the roads I take_comma_I would have no clue._period_
neutral,First communication device,So what kind of communication device did you start with?_period_
neutral,Old device,Before the computer came to my world_comma_I had a book with pictures._period_
neutral,Using the book,Oh wow! What was it like to use something like that?_period_
neutral,Using the book at home,It was sometimes a joke_comma_because I didn't use it at home or camping with my parents._period_
neutral,Early use of the book,Really? Do you remember what you would use it for early?_period_
neutral,Silly names,That does sound like it would be difficult. What would you call them?_period_
neutral,Funny word for grandparents,I would call my grandparents "lobster people" because I didn't know the word for grandma and grandpa at the time._period_
neutral,Family visit,What was your outside family like?_period_
neutral,Family visit,I remember going to a house to visit family as a kid._period_
neutral,Realizing family,What family was it that you were visiting?_period_
neutral,Realization of grandparents,I learned later that they were my grandparents at the time. But at the time_comma_I just called them lobster people._period_
neutral,Why lobster people,Oh? Why did you call them lobster people?_period_
neutral,Funny memory,I remembered them cooking lobster_comma_and I wasn't sure what else to call them._period_
positive,Family description,That's pretty funny. What were your grandparents like?_period_
positive,Grandparents' personality,They are very friendly and giving people._period_
neutral,Grandmother’s routine,What was it like to be with your grandparents?_period_
neutral,Grandmother’s morning routine,I remember one summer_comma_my grandmother would like to get up around 5am._period_
neutral,Early rising,that's so early! Why would she get up like that?_period_
positive,Grandmother’s care,She likes to get coffee_comma_doughnuts_comma_and newspapers for our grandfather._period_
positive,Grandmother’s thoughtfulness,Oh that's sweet of her!_period_
neutral,Interesting event,Yes_comma_ one morning_comma_we heard a lady yelling_comma_and she had her dog with her._period_
neutral,Why was she yelling,Oh? Why was she yelling?_period_
neutral,The dog incident,Turns out_comma_it was our dog! We gave her lots of water afterwards._period_
